HISTOGRAM: ../bin/data/AlcoyH_salida.xyz.csv
N_puntos: 20380212
N_nodos: 153205
N_nodos_hoja: 114898
MinRadius: 1.4 m
Area_minima: 7.84 m^2

OBSERVADO: 
N_medio_pts/nodo: 177
__min: 0
__max: 3947
Densidad_media: 22.6246
__min: 0
__max: 503.444

ESTIMADO: 
N_medio_pts/nodo: 59.3776
Densidad_media: 7.57367

x_i n_i x_i*n_i rho_i rho_i*n_i
360 91 32760 45.9184 4178.57
361 67 24187 46.0459 3085.08
362 80 28960 46.1735 3693.88
363 77 27951 46.301 3565.18
364 65 23660 46.4286 3017.86
365 43 15695 46.5561 2001.91
366 64 23424 46.6837 2987.76
367 61 22387 46.8112 2855.48
368 64 23552 46.9388 3004.08
369 63 23247 47.0663 2965.18
370 66 24420 47.1939 3114.8
371 59 21889 47.3214 2791.96
372 60 22320 47.449 2846.94
373 61 22753 47.5765 2902.17
374 56 20944 47.7041 2671.43
375 70 26250 47.8316 3348.21
376 53 19928 47.9592 2541.84
377 42 15834 48.0867 2019.64
378 65 24570 48.2143 3133.93
379 53 20087 48.3418 2562.12
380 51 19380 48.4694 2471.94
381 50 19050 48.5969 2429.85
382 61 23302 48.7245 2972.19
383 51 19533 48.852 2491.45
384 51 19584 48.9796 2497.96
385 58 22330 49.1071 2848.21
386 44 16984 49.2347 2166.33
387 53 20511 49.3622 2616.2
388 45 17460 49.4898 2227.04
389 47 18283 49.6173 2332.02
390 44 17160 49.7449 2188.78
391 49 19159 49.8725 2443.75
392 45 17640 50 2250
393 54 21222 50.1276 2706.89
394 64 25216 50.2551 3216.33
395 46 18170 50.3827 2317.6
396 46 18216 50.5102 2323.47
397 55 21835 50.6378 2785.08
398 51 20298 50.7653 2589.03
399 45 17955 50.8929 2290.18
400 48 19200 51.0204 2448.98
401 42 16842 51.148 2148.21
402 24 9648 51.2755 1230.61
403 39 15717 51.4031 2004.72
404 39 15756 51.5306 2009.69
405 48 19440 51.6582 2479.59
406 35 14210 51.7857 1812.5
407 35 14245 51.9133 1816.96
408 40 16320 52.0408 2081.63
409 32 13088 52.1684 1669.39
410 45 18450 52.2959 2353.32
411 36 14796 52.4235 1887.24
412 50 20600 52.551 2627.55
413 54 22302 52.6786 2844.64
414 43 17802 52.8061 2270.66
415 36 14940 52.9337 1905.61
416 31 12896 53.0612 1644.9
417 29 12093 53.1888 1542.47
418 31 12958 53.3163 1652.81
419 37 15503 53.4439 1977.42
420 32 13440 53.5714 1714.29
421 36 15156 53.699 1933.16
422 31 13082 53.8265 1668.62
423 31 13113 53.9541 1672.58
424 24 10176 54.0816 1297.96
425 30 12750 54.2092 1626.28
426 38 16188 54.3367 2064.8
427 26 11102 54.4643 1416.07
428 36 15408 54.5918 1965.31
429 31 13299 54.7194 1696.3
430 25 10750 54.8469 1371.17
431 30 12930 54.9745 1649.23
432 34 14688 55.102 1873.47
433 22 9526 55.2296 1215.05
434 32 13888 55.3571 1771.43
435 34 14790 55.4847 1886.48
436 32 13952 55.6122 1779.59
437 46 20102 55.7398 2564.03
438 39 17082 55.8673 2178.83
439 33 14487 55.9949 1847.83
440 30 13200 56.1225 1683.67
441 35 15435 56.25 1968.75
442 34 15028 56.3776 1916.84
443 25 11075 56.5051 1412.63
444 28 12432 56.6327 1585.71
445 23 10235 56.7602 1305.48
446 37 16502 56.8878 2104.85
447 21 9387 57.0153 1197.32
448 24 10752 57.1429 1371.43
449 15 6735 57.2704 859.056
450 17 7650 57.398 975.765
451 27 12177 57.5255 1553.19
452 30 13560 57.6531 1729.59
453 24 10872 57.7806 1386.73
454 28 12712 57.9082 1621.43
455 27 12285 58.0357 1566.96
456 33 15048 58.1633 1919.39
457 20 9140 58.2908 1165.82
458 24 10992 58.4184 1402.04
459 32 14688 58.5459 1873.47
460 28 12880 58.6735 1642.86
461 23 10603 58.801 1352.42
462 23 10626 58.9286 1355.36
463 28 12964 59.0561 1653.57
464 30 13920 59.1837 1775.51
465 26 12090 59.3112 1542.09
466 28 13048 59.4388 1664.29
467 23 10741 59.5663 1370.03
468 19 8892 59.6939 1134.18
469 22 10318 59.8214 1316.07
470 35 16450 59.949 2098.21
471 26 12246 60.0765 1561.99
472 19 8968 60.2041 1143.88
473 20 9460 60.3316 1206.63
474 22 10428 60.4592 1330.1
475 20 9500 60.5867 1211.73
476 11 5236 60.7143 667.857
477 20 9540 60.8418 1216.84
478 20 9560 60.9694 1219.39
479 25 11975 61.0969 1527.42
480 21 10080 61.2245 1285.71
481 24 11544 61.352 1472.45
482 20 9640 61.4796 1229.59
483 28 13524 61.6071 1725
484 26 12584 61.7347 1605.1
485 19 9215 61.8622 1175.38
486 22 10692 61.9898 1363.78
487 30 14610 62.1173 1863.52
488 20 9760 62.2449 1244.9
489 22 10758 62.3725 1372.19
490 27 13230 62.5 1687.5
491 19 9329 62.6276 1189.92
492 25 12300 62.7551 1568.88
493 28 13804 62.8827 1760.71
