HISTOGRAM: ../bin/data/BrionUH_salida.xyz.csv
N_puntos: 48024480
N_nodos: 200557
N_nodos_hoja: 150411
MinRadius: 0.6 m
Area_minima: 1.44 m^2

OBSERVADO: 
N_medio_pts/nodo: 319
__min: 0
__max: 1942
Densidad_media: 221.728
__min: 0
__max: 1348.61

ESTIMADO: 
N_medio_pts/nodo: 175.84
Densidad_media: 122.111

x_i n_i x_i*n_i rho_i rho_i*n_i
412 203 83636 286.111 58080.6
413 191 78883 286.806 54779.9
414 226 93564 287.5 64975
415 200 83000 288.194 57638.9
416 201 83616 288.889 58066.7
417 194 80898 289.583 56179.2
418 186 77748 290.278 53991.7
419 222 93018 290.972 64595.8
420 188 78960 291.667 54833.3
421 170 71570 292.361 49701.4
422 197 83134 293.056 57731.9
423 201 85023 293.75 59043.7
424 187 79288 294.444 55061.1
425 195 82875 295.139 57552.1
426 205 87330 295.833 60645.8
427 187 79849 296.528 55450.7
428 182 77896 297.222 54094.4
429 199 85371 297.917 59285.4
430 185 79550 298.611 55243.1
431 199 85769 299.306 59561.8
432 187 80784 300 56100
433 188 81404 300.694 56530.6
434 180 78120 301.389 54250
435 178 77430 302.083 53770.8
436 173 75428 302.778 52380.6
437 188 82156 303.472 57052.8
438 205 89790 304.167 62354.2
439 178 78142 304.861 54265.3
440 189 83160 305.556 57750
441 193 85113 306.25 59106.2
442 195 86190 306.944 59854.2
443 199 88157 307.639 61220.1
444 185 82140 308.333 57041.7
445 192 85440 309.028 59333.3
446 192 85632 309.722 59466.7
447 181 80907 310.417 56185.4
448 204 91392 311.111 63466.7
449 189 84861 311.806 58931.2
450 189 85050 312.5 59062.5
451 190 85690 313.194 59506.9
452 173 78196 313.889 54302.8
453 194 87882 314.583 61029.2
454 190 86260 315.278 59902.8
455 189 85995 315.972 59718.7
456 212 96672 316.667 67133.3
457 199 90943 317.361 63154.9
458 215 98470 318.056 68381.9
459 198 90882 318.75 63112.5
460 202 92920 319.444 64527.8
461 179 82519 320.139 57304.9
462 200 92400 320.833 64166.7
463 194 89822 321.528 62376.4
464 197 91408 322.222 63477.8
465 165 76725 322.917 53281.2
466 167 77822 323.611 54043.1
467 164 76588 324.306 53186.1
468 196 91728 325 63700
469 153 71757 325.694 49831.2
470 190 89300 326.389 62013.9
471 162 76302 327.083 52987.5
472 171 80712 327.778 56050
473 183 86559 328.472 60110.4
474 165 78210 329.167 54312.5
475 156 74100 329.861 51458.3
476 192 91392 330.556 63466.7
477 168 80136 331.25 55650
478 175 83650 331.944 58090.3
479 181 86699 332.639 60207.6
480 181 86880 333.333 60333.3
481 174 83694 334.028 58120.8
482 195 93990 334.722 65270.8
483 195 94185 335.417 65406.2
484 161 77924 336.111 54113.9
485 152 73720 336.806 51194.4
486 195 94770 337.5 65812.5
487 178 86686 338.194 60198.6
488 168 81984 338.889 56933.3
489 172 84108 339.583 58408.3
490 154 75460 340.278 52402.8
491 182 89362 340.972 62056.9
492 153 75276 341.667 52275
493 154 75922 342.361 52723.6
494 202 99788 343.056 69297.2
495 168 83160 343.75 57750
496 156 77376 344.444 53733.3
497 153 76041 345.139 52806.2
498 162 80676 345.833 56025
499 176 87824 346.528 60988.9
500 165 82500 347.222 57291.7
501 178 89178 347.917 61929.2
502 167 83834 348.611 58218.1
503 162 81486 349.306 56587.5
504 170 85680 350 59500
505 137 69185 350.694 48045.1
506 197 99682 351.389 69223.6
507 161 81627 352.083 56685.4
508 171 86868 352.778 60325
509 173 88057 353.472 61150.7
510 163 83130 354.167 57729.2
511 167 85337 354.861 59261.8
512 137 70144 355.556 48711.1
513 146 74898 356.25 52012.5
514 152 78128 356.944 54255.6
515 164 84460 357.639 58652.8
516 148 76368 358.333 53033.3
517 159 82203 359.028 57085.4
518 154 79772 359.722 55397.2
519 150 77850 360.417 54062.5
520 177 92040 361.111 63916.7
521 161 83881 361.806 58250.7
522 171 89262 362.5 61987.5
523 136 71128 363.194 49394.4
524 165 86460 363.889 60041.7
525 155 81375 364.583 56510.4
526 146 76796 365.278 53330.6
527 149 78523 365.972 54529.9
528 143 75504 366.667 52433.3
529 172 90988 367.361 63186.1
530 139 73670 368.056 51159.7
531 144 76464 368.75 53100
532 147 78204 369.444 54308.3
533 134 71422 370.139 49598.6
534 157 83838 370.833 58220.8
535 144 77040 371.528 53500
536 147 78792 372.222 54716.7
537 140 75180 372.917 52208.3
538 156 83928 373.611 58283.3
539 138 74382 374.306 51654.2
540 151 81540 375 56625
541 125 67625 375.694 46961.8
542 170 92140 376.389 63986.1
543 133 72219 377.083 50152.1
544 133 72352 377.778 50244.4
545 137 74665 378.472 51850.7
546 145 79170 379.167 54979.2
547 140 76580 379.861 53180.6
548 146 80008 380.556 55561.1
549 146 80154 381.25 55662.5
550 132 72600 381.944 50416.7
551 128 70528 382.639 48977.8
552 142 78384 383.333 54433.3
553 134 74102 384.028 51459.7
554 108 59832 384.722 41550
555 132 73260 385.417 50875
556 132 73392 386.111 50966.7
557 157 87449 386.806 60728.5
558 135 75330 387.5 52312.5
559 135 75465 388.194 52406.2
560 124 69440 388.889 48222.2
561 116 65076 389.583 45191.7
562 116 65192 390.278 45272.2
563 126 70938 390.972 49262.5
564 118 66552 391.667 46216.7
565 127 71755 392.361 49829.9
566 127 71882 393.056 49918.1
567 109 61803 393.75 42918.7
568 127 72136 394.444 50094.4
569 113 64297 395.139 44650.7
570 122 69540 395.833 48291.7
571 124 70804 396.528 49169.4
572 137 78364 397.222 54419.4
573 108 61884 397.917 42975
574 104 59696 398.611 41455.6
575 123 70725 399.306 49114.6
576 103 59328 400 41200
577 114 65778 400.694 45679.2
578 114 65892 401.389 45758.3
579 119 68901 402.083 47847.9
580 131 75980 402.778 52763.9
581 123 71463 403.472 49627.1
582 122 71004 404.167 49308.3
583 97 56551 404.861 39271.5
584 102 59568 405.556 41366.7
585 102 59670 406.25 41437.5
586 113 66218 406.944 45984.7
587 107 62809 407.639 43617.4
588 121 71148 408.333 49408.3
589 98 57722 409.028 40084.7
590 121 71390 409.722 49576.4
591 105 62055 410.417 43093.7
592 101 59792 411.111 41522.2
593 102 60486 411.806 42004.2
594 104 61776 412.5 42900
595 133 79135 413.194 54954.9
596 98 58408 413.889 40561.1
597 97 57909 414.583 40214.6
598 102 60996 415.278 42358.3
599 94 56306 415.972 39101.4
600 100 60000 416.667 41666.7
601 114 68514 417.361 47579.2
602 104 62608 418.056 43477.8
603 111 66933 418.75 46481.2
604 108 65232 419.444 45300
605 97 58685 420.139 40753.5
606 107 64842 420.833 45029.2
607 106 64342 421.528 44681.9
608 91 55328 422.222 38422.2
609 84 51156 422.917 35525
610 74 45140 423.611 31347.2
611 101 61711 424.306 42854.9
612 92 56304 425 39100
613 92 56396 425.694 39163.9
614 94 57716 426.389 40080.6
615 91 55965 427.083 38864.6
616 81 49896 427.778 34650
617 111 68487 428.472 47560.4
618 86 53148 429.167 36908.3
619 88 54472 429.861 37827.8
620 91 56420 430.556 39180.6
621 86 53406 431.25 37087.5
622 75 46650 431.944 32395.8
623 87 54201 432.639 37639.6
624 79 49296 433.333 34233.3
625 83 51875 434.028 36024.3
626 73 45698 434.722 31734.7
627 79 49533 435.417 34397.9
628 87 54636 436.111 37941.7
629 97 61013 436.806 42370.1
630 80 50400 437.5 35000
631 79 49849 438.194 34617.4
632 71 44872 438.889 31161.1
633 80 50640 439.583 35166.7
634 75 47550 440.278 33020.8
635 83 52705 440.972 36600.7
636 69 43884 441.667 30475
637 76 48412 442.361 33619.4
638 66 42108 443.056 29241.7
639 90 57510 443.75 39937.5
640 80 51200 444.444 35555.6
641 75 48075 445.139 33385.4
642 69 44298 445.833 30762.5
643 73 46939 446.528 32596.5
644 74 47656 447.222 33094.4
645 87 56115 447.917 38968.7
646 65 41990 448.611 29159.7
647 87 56289 449.306 39089.6
648 69 44712 450 31050
649 56 36344 450.694 25238.9
650 76 49400 451.389 34305.6
651 77 50127 452.083 34810.4
652 60 39120 452.778 27166.7
653 60 39180 453.472 27208.3
654 73 47742 454.167 33154.2
655 62 40610 454.861 28201.4
656 78 51168 455.556 35533.3
657 50 32850 456.25 22812.5
658 47 30926 456.944 21476.4
659 59 38881 457.639 27000.7
660 64 42240 458.333 29333.3
661 57 37677 459.028 26164.6
662 66 43692 459.722 30341.7
663 57 37791 460.417 26243.7
664 62 41168 461.111 28588.9
665 50 33250 461.806 23090.3
666 50 33300 462.5 23125
667 71 47357 463.194 32886.8
668 49 32732 463.889 22730.6
669 60 40140 464.583 27875
670 60 40200 465.278 27916.7
671 72 48312 465.972 33550
672 61 40992 466.667 28466.7
673 70 47110 467.361 32715.3
674 51 34374 468.056 23870.8
675 55 37125 468.75 25781.2
676 57 38532 469.444 26758.3
677 63 42651 470.139 29618.7
678 30 20340 470.833 14125
679 50 33950 471.528 23576.4
680 59 40120 472.222 27861.1
681 56 38136 472.917 26483.3
682 45 30690 473.611 21312.5
683 53 36199 474.306 25138.2
684 46 31464 475 21850
685 59 40415 475.694 28066
686 35 24010 476.389 16673.6
687 52 35724 477.083 24808.3
688 39 26832 477.778 18633.3
689 52 35828 478.472 24880.6
690 50 34500 479.167 23958.3
691 48 33168 479.861 23033.3
692 43 29756 480.556 20663.9
